E_lab	E*/MeV	190Po	191Po	192Po	193Po	194Po	195Po	196Po
219.658	17.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.384E-10	0.970E-08
221.055	18.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.545E-09	0.456E-07
222.452	19.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.425E-08	0.192E-06
223.850	20.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.338E-07	0.733E-06
225.247	21.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.271E-06	0.256E-05
226.644	22.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.204E-05	0.825E-05
228.041	23.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.138E-04	0.243E-04
229.438	24.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.770E-04	0.626E-04
230.835	25.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.270E-08	0.321E-03	0.127E-03
232.232	26.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.578E-07	0.980E-03	0.197E-03
233.630	27.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.515E-06	0.234E-02	0.245E-03
235.027	28.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.319E-05	0.461E-02	0.258E-03
236.424	29.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.161E-04	0.777E-02	0.243E-03
237.821	30.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.657E-04	0.114E-01	0.208E-03
239.218	31.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.217E-03	0.147E-01	0.166E-03
240.615	32.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.598E-03	0.170E-01	0.124E-03
242.013	33.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.140E-02	0.178E-01	0.876E-04
243.410	34.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.283E-02	0.171E-01	0.590E-04
244.807	35.0	0.000E+00	0.000E+00	0.000E+00	0.210E-08	0.501E-02	0.152E-01	0.379E-04
246.204	36.0	0.000E+00	0.000E+00	0.000E+00	0.326E-07	0.782E-02	0.127E-01	0.235E-04
247.601	37.0	0.000E+00	0.000E+00	0.000E+00	0.211E-06	0.108E-01	0.996E-02	0.140E-04
248.998	38.0	0.000E+00	0.000E+00	0.000E+00	0.799E-06	0.134E-01	0.743E-02	0.805E-05
250.396	39.0	0.000E+00	0.000E+00	0.000E+00	0.220E-05	0.150E-01	0.531E-02	0.449E-05
251.793	40.0	0.000E+00	0.000E+00	0.000E+00	0.542E-05	0.154E-01	0.365E-02	0.239E-05
253.190	41.0	0.000E+00	0.000E+00	0.000E+00	0.131E-04	0.146E-01	0.243E-02	0.120E-05
254.587	42.0	0.000E+00	0.000E+00	0.000E+00	0.305E-04	0.130E-01	0.158E-02	0.504E-06
255.984	43.0	0.000E+00	0.000E+00	0.000E+00	0.663E-04	0.109E-01	0.100E-02	0.000E+00
257.381	44.0	0.000E+00	0.000E+00	0.000E+00	0.132E-03	0.874E-02	0.624E-03	0.000E+00
258.779	45.0	0.000E+00	0.000E+00	0.000E+00	0.242E-03	0.674E-02	0.383E-03	0.000E+00
260.176	46.0	0.000E+00	0.000E+00	0.000E+00	0.405E-03	0.503E-02	0.232E-03	0.000E+00
261.573	47.0	0.000E+00	0.000E+00	0.937E-09	0.626E-03	0.365E-02	0.139E-03	0.000E+00
262.970	48.0	0.000E+00	0.000E+00	0.585E-08	0.894E-03	0.259E-02	0.830E-04	0.000E+00
264.367	49.0	0.000E+00	0.000E+00	0.295E-07	0.118E-02	0.180E-02	0.491E-04	0.000E+00
265.764	50.0	0.000E+00	0.000E+00	0.123E-06	0.146E-02	0.123E-02	0.289E-04	0.000E+00
267.162	51.0	0.000E+00	0.000E+00	0.432E-06	0.168E-02	0.832E-03	0.169E-04	0.000E+00
268.559	52.0	0.000E+00	0.000E+00	0.130E-05	0.181E-02	0.554E-03	0.979E-05	0.000E+00
269.956	53.0	0.000E+00	0.000E+00	0.337E-05	0.185E-02	0.366E-03	0.563E-05	0.000E+00
271.353	54.0	0.000E+00	0.000E+00	0.770E-05	0.180E-02	0.239E-03	0.322E-05	0.000E+00
272.750	55.0	0.000E+00	0.000E+00	0.157E-04	0.167E-02	0.155E-03	0.182E-05	0.000E+00
274.147	56.0	0.000E+00	0.000E+00	0.286E-04	0.149E-02	0.100E-03	0.994E-06	0.000E+00
275.545	57.0	0.000E+00	0.000E+00	0.471E-04	0.129E-02	0.640E-04	0.520E-06	0.000E+00
276.942	58.0	0.000E+00	0.136E-09	0.710E-04	0.108E-02	0.407E-04	0.238E-06	0.000E+00
278.339	59.0	0.000E+00	0.576E-09	0.983E-04	0.885E-03	0.258E-04	0.000E+00	0.000E+00
279.736	60.0	0.000E+00	0.184E-08	0.126E-03	0.706E-03	0.162E-04	0.000E+00	0.000E+00
281.133	61.0	0.000E+00	0.495E-08	0.151E-03	0.553E-03	0.101E-04	0.000E+00	0.000E+00
282.530	62.0	0.000E+00	0.124E-07	0.170E-03	0.425E-03	0.630E-05	0.000E+00	0.000E+00
283.928	63.0	0.000E+00	0.300E-07	0.184E-03	0.321E-03	0.390E-05	0.000E+00	0.000E+00
285.325	64.0	0.000E+00	0.716E-07	0.187E-03	0.240E-03	0.239E-05	0.000E+00	0.000E+00
286.722	65.0	0.000E+00	0.164E-06	0.183E-03	0.176E-03	0.146E-05	0.000E+00	0.000E+00
288.119	66.0	0.000E+00	0.352E-06	0.173E-03	0.128E-03	0.871E-06	0.000E+00	0.000E+00
289.516	67.0	0.000E+00	0.705E-06	0.157E-03	0.926E-04	0.504E-06	0.000E+00	0.000E+00
290.913	68.0	0.000E+00	0.131E-05	0.139E-03	0.661E-04	0.283E-06	0.000E+00	0.000E+00
292.311	69.0	0.000E+00	0.225E-05	0.120E-03	0.469E-04	0.139E-06	0.000E+00	0.000E+00
293.708	70.0	0.000E+00	0.360E-05	0.102E-03	0.330E-04	0.529E-07	0.000E+00	0.000E+00
295.105	71.0	0.243E-10	0.537E-05	0.841E-04	0.230E-04	0.000E+00	0.000E+00	0.000E+00
296.502	72.0	0.102E-09	0.750E-05	0.684E-04	0.160E-04	0.000E+00	0.000E+00	0.000E+00
297.899	73.0	0.371E-09	0.988E-05	0.547E-04	0.110E-04	0.000E+00	0.000E+00	0.000E+00
299.296	74.0	0.118E-08	0.123E-04	0.431E-04	0.756E-05	0.000E+00	0.000E+00	0.000E+00
300.693	75.0	0.332E-08	0.146E-04	0.335E-04	0.516E-05	0.000E+00	0.000E+00	0.000E+00
302.091	76.0	0.832E-08	0.166E-04	0.258E-04	0.350E-05	0.000E+00	0.000E+00	0.000E+00
303.488	77.0	0.188E-07	0.180E-04	0.196E-04	0.236E-05	0.000E+00	0.000E+00	0.000E+00
304.885	78.0	0.385E-07	0.189E-04	0.148E-04	0.159E-05	0.000E+00	0.000E+00	0.000E+00
306.282	79.0	0.719E-07	0.192E-04	0.111E-04	0.106E-05	0.000E+00	0.000E+00	0.000E+00
307.679	80.0	0.124E-06	0.189E-04	0.819E-05	0.703E-06	0.000E+00	0.000E+00	0.000E+00
